HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Buddy",2009,"m"
"Buddy",2009,"m"
"Buddy",2008,"m"
"Buddy (Damian)",2011,"m"
"Bufo",2013,"m"
"Bugsy",2013,"m"
"Bunga",2005,"w"
"Bunia",2013,"w"
"Bunny",2010,"w"
"Buran v. Kreuzberger Hof",2008,"m"
"Buri",2007,"w"
"Burton",2013,"m"
"Buscheli",2009,"w"
"Busik",2012,"m"
"Buster",2014,"m"
"Buster",2010,"m"
"Buster",2011,"m"
"Buster",2015,"m"
"Butch",2005,"m"
"Butch",2015,"m"
"Butzzi",2016,"m"
"Buzz",2007,"m"
"Byetti",2011,"w"
"Cacau (Chubby)",2012,"m"
"Cachaca",2013,"w"
"Cachou",2008,"w"
"Cäcilia vom Georgisberg",2012,"w"
"Cador",2003,"m"
"Caila",2008,"w"
"Caja",2010,"w"
"Cajus",2012,"m"
"Caki",2009,"m"
"Calan",2009,"m"
"Cali",2009,"w"
"Cali",2016,"w"
"Cäli",2013,"w"
"Calimero",2010,"m"
"Calimero",2013,"m"
"Calinda",2016,"w"
"Calinero",2013,"m"
"Caliope",2013,"w"
"Callista",2010,"w"
"Calou",2006,"m"
"Calvin",2006,"m"
"Camena",2006,"w"
"Camila",2006,"w"
"Camilla",2001,"w"
"Camino",2014,"m"
"Camino",2004,"m"
"Camira",2013,"w"
"Cammy",2013,"w"
"Campina",2009,"w"
"Canchu",2013,"m"
"Candy",2015,"w"
"Candy",2003,"w"
"Candy",2001,"m"
"Candy",2005,"w"
"Candy ",2011,"w"
"Candy Beggar II",2013,"m"
"Candy (Mara)",2014,"w"
"Candy vom Wolfszauber",2013,"w"
"Canela",2006,"w"
"Canela",2003,"w"
"Canelle",2007,"w"
"Canica",2013,"w"
"Cannel",2011,"m"
"Cannelle",2005,"w"
"Cano",2007,"m"
"Cansu",2009,"w"
"Capengo",2007,"m"
"Capi",2007,"w"
"Capitan",2004,"m"
"Capo v. Studerwilen",2009,"m"
"Capo Wayn",2016,"m"
"Capone",2006,"m"
"Cappi",2011,"m"
"Capucina",2013,"w"
"Cara",2013,"w"
"Cara",2013,"w"
"Cara",2006,"w"
"Cara ",2012,"w"
"Cara (Petite Maria)",2004,"w"
"Caramel",2002,"w"
"Caramel (Angel)",2012,"w"
"Carino",2002,"m"
"Carla",2008,"w"
"Carlitos",2010,"m"
"Carlitos",2009,"m"
"Carlo",1999,"m"
"Carlos",2008,"m"
"Carly",2012,"m"
"Carmel",2008,"m"
"Carmelita",2014,"w"
"Carmella",2004,"w"
"Carol",2016,"w"
"Carolina",2008,"w"
"Carrie",2011,"w"
"Carrie",2004,"w"
"Carry",2014,"w"
"Cartouche",2004,"w"
"Caruso",2000,"m"
"Caruso",2009,"m"
"Caruso",2004,"m"
"Caruso",2012,"m"
"Casa Rastys Bonito Bicho",2015,"m"
"Casanova",2005,"m"
"Casanova",2008,"m"
"Casey",2014,"m"
"Casey Chaya",2015,"w"
"Cash",2012,"m"
"Cash vom blauen Mistral",2010,"m"
"Cäsi",2003,"w"
"Casima",2011,"w"
"Casimo",2011,"m"
"Casper",2009,"m"
"Casper",2014,"m"
"Cassie",2013,"w"
"Cassius",2007,"m"
"Cassy (Kassady little rose)",2007,"w"
"Castello vom Gestüt Palmberg",2016,"m"
"Catalina",2006,"w"
"Caviperro Eron",2015,"m"
"Cayman Turkish Diamond",2016,"m"
"Cayo",2016,"m"
"Cebolla",2007,"w"
"Ceca",2006,"w"
"CeCe",2013,"w"
"Ceila",2005,"w"
"Celaya",2013,"w"
"Celia",2012,"w"
"Celia",2012,"w"
"Celine",2007,"w"
"Céline",2013,"w"
"Celis",2007,"w"
"Cen",2004,"m"
"Cenndy",2012,"w"
"Ceres",2003,"m"
"Cert",2008,"m"
"Cesar",2012,"m"
"Cesar",2012,"m"
"C'est Ci Bonne",2009,"w"
"Cézanne",2012,"m"
"Cézanne Anuk Etoile des filous",2015,"m"
"Chabo",2016,"m"
"Cha-Cha-Cha",2009,"w"
"Chadisha Nanouk",2009,"w"
"Chai",2006,"w"
"Chai",2016,"m"
"Chakori",2015,"m"
"Chalia",2003,"w"
"Champ",2010,"m"
"Chan (Phoenix)",2015,"m"
"Chanda",2004,"w"
"Chandar",2007,"m"
"Chanel",2011,"w"
"Chanel",2016,"w"
"Chanel",2013,"w"
"Chanel",2012,"w"
"Chanel",2014,"w"
"Chanel",2013,"w"
"Chanel",2006,"w"
"Chanel",2004,"w"
"Chanelle",2011,"w"
"Chanelle",2012,"w"
"Channel",2015,"w"
"Chantal",2014,"w"
"Chap",2004,"m"
"Chap",2015,"m"
"Chaplin",2016,"m"
"Chaplin",2014,"m"
"Chara",2004,"w"
"Charlet",2007,"w"
"Charlie",2011,"m"
"Charlie",2012,"w"
"Charlie",2014,"m"
"Charlie",2013,"m"
"Charlie",2012,"m"
"Charlie",2006,"m"
"Charlie",2004,"m"
"Charlie",2011,"m"
"Charlie",2006,"m"
"Charlie",2014,"m"
"Charlie",2016,"m"
"Charlie",2012,"m"
"Charlie (Milka)",2006,"w"
"Charlie (Taro)",2011,"m"
"Charlina",2012,"w"
"Charly",2011,"m"
"Charly",2010,"m"
"Charly",2013,"m"
"Charly",2013,"m"
"Charly",2003,"m"
"Charly",2012,"m"
"Charly",2006,"m"
"Charly",2003,"m"
"Charly",2002,"m"
"Charly",2000,"m"
"Charly",2006,"m"
"Charly",2012,"m"
"Charly",2009,"m"
"Charly",2013,"m"
"Charly",2005,"m"
"Charly",2007,"m"
"Charly",2004,"m"
"Charly",2015,"m"
"Charly",2014,"m"
"Charly",2004,"m"
"Charly (Carletto)",2011,"m"
"Charlyn",2011,"w"
"Charo",2007,"w"
"Chaska",2012,"m"
"Chasni",2012,"w"
"Chatito",2011,"m"
"Chavez",2014,"m"
"Chaya",2009,"w"
"Chaya",2003,"w"
"Chayenne",2016,"w"
"Ché",2014,"m"
"Che (Bandit)",2014,"m"
"Cheeky",2014,"w"
"Chegue",2005,"m"
"Chela",2009,"w"
"Chelsea",2010,"w"
"Chelsea",2012,"w"
"Chelsey",2010,"w"
"Chenoa",2006,"w"
"Cherie",2014,"w"
"Cherie (Merlin Boy)",2011,"m"
"Cheronimo Fleur de feu",2016,"m"
"Cherry",2016,"m"
"Cherry",2005,"w"
"Cherry",2007,"m"
"Chessy",2005,"w"
"Chester",2012,"m"
"Chester",2003,"m"
"Chester",2014,"m"
"Chester",2014,"m"
"Chester von den Haslizwergen",2010,"m"
"Chesterfield",2003,"m"
"Chewba",2014,"m"
"Chewbacca",2012,"w"
"Cheyenne",2009,"w"
"Cheyenne",1999,"m"
"Cheyenne",2008,"w"
"Chiara",2004,"w"
"Chiara",2012,"w"
"Chiara",2003,"w"
"Chiara",2007,"w"
"Chiara",2009,"w"
"Chiara",2007,"w"
"Chiara",2006,"w"
"Chiara",2005,"w"
"Chiara",2006,"w"
"Chiara",2003,"w"
"Chiara",2007,"w"
"Chiara",2008,"w"
"Chiara",2005,"w"
"Chiara Nora ",2010,"w"
"Chibi",2010,"w"
"Chica",2002,"w"
"Chica",2004,"w"
"Chica",2005,"w"
"Chica",2007,"w"
"Chica",2011,"w"
"Chica",2014,"w"
"Chica",2008,"w"
"Chica",2009,"w"
"Chica",2015,"w"
"Chica",2004,"w"
"Chicago",2003,"m"
"Chicao",2006,"m"
"Chicca",2015,"w"
"Chicca",2009,"w"
"Chicca",2003,"w"
"Chicca",2003,"w"
"Chicca",2001,"w"
"Chicco",2004,"m"
"Chicco",2005,"m"
"Chicco",2005,"m"
"Chicco",2008,"m"
"Chicco",2005,"m"
"Chicco",2004,"m"
"Chicco",2003,"m"
"Chicco",2011,"m"
"Chicco",2009,"m"
"Chicco",2010,"m"
"Chicco",2016,"m"
"Chicco",2007,"m"
"Chicco",2009,"m"
"Chicco",2010,"m"
"Chicco",2009,"m"
"Chicco",2002,"m"
"Chicco",2013,"m"
"ChiChi",2012,"w"
"Chicho",2008,"m"
"Chicho",2010,"m"
"Chico",2015,"m"
"Chico",2016,"m"
"Chico",2007,"m"
"Chico",2008,"m"
"Chico",2004,"m"
"Chico",2008,"m"
"Chico",2011,"m"
"Chico",2003,"m"
"Chico",2005,"m"
"Chico",2005,"m"
"Chico",2008,"m"
"Chico",2008,"m"
"Chico",2009,"m"
"Chico",2009,"m"
"Chico",2007,"m"
"Chico",2014,"m"
"Chico",2011,"m"
"Chico",2014,"m"
"Chico",2004,"m"
"Chico",2010,"m"
"Chico Cooper",2009,"m"
"Chico (Pypo)",2008,"m"
"Chigi",2009,"w"
"Chila",2008,"w"
"Chili",2015,"w"
"Chili",2003,"w"
"Chili",2005,"w"
"Chili",2007,"w"
"Chili",2005,"w"
"Chili (Lea)",2008,"w"
"Chili of Funny Paws",2011,"w"
"Chili (Superflys Obsession)",2008,"m"
"Chilla",2005,"w"
"Chilli",2007,"w"
"Chilli",2010,"w"
"Chilli",2005,"w"
"Chilli",2015,"m"
"Chilly",2008,"w"
"Chilly",2003,"w"
"Chilly",2010,"w"
"Chilly",2007,"w"
"Chilly (Zamaoria)",2008,"w"
"Chime",2008,"m"
"Chinchilli",2012,"w"
"Chini",2011,"w"
"Chino",2009,"m"
"Chipa (Carmina)",2011,"w"
"Chips",2007,"w"
"Chipsi",2004,"w"
"Chipsy",2006,"m"
"Chipsy",2015,"w"
"Chiquita",2010,"w"
"Chiquita (Bambi)",2009,"w"
"Chispa",2001,"w"
"Chispi",2016,"w"
"Chiuma",2004,"w"
"Chivas of Greenparadise",2010,"m"
"Chiya",2009,"w"
"Chiyo",2012,"w"
"Chloe",2013,"w"
"Chloé",2006,"w"
"Chloé",2011,"w"
"Choco",2005,"m"
"Chocolat",2007,"w"
"Chogna",2004,"w"
"Choise",2006,"w"
"Choko",2010,"w"
"Choosy",2005,"w"
"Chorizo",2004,"m"
"Chou Chou",2008,"w"
"Chou-Chou",2011,"w"
"Chris",2005,"m"
"Chris",2012,"m"
"Chrystal",2015,"w"
"Chucky",2007,"m"
"Chucky",2015,"m"
"Chula (Naomi)",2008,"w"
"Chule",2012,"m"
"Chupa",2015,"m"
"Churchill (Maki von Càk)",2007,"m"
"Chusca",2013,"w"
"Chuy",2010,"m"
"Chyna von Black-Daimen",2012,"w"
"Cia Amari",2013,"w"
"Cian",2006,"m"
"Ciara",2005,"w"
"Cibai (Urumci",2008,"w"
"Cibo",2004,"m"
"Cica",2015,"w"
"Ciccio",2006,"m"
"Ciccio",2005,"m"
"Ciccio",2012,"m"
"Ciccio",2012,"m"
"Ciccio",2014,"m"
"Cicco",2014,"m"
"Cicco ll (Pippo)",2006,"m"
"Cicero",2016,"m"
"Cici",2010,"m"
"Cici (Inca)",2008,"w"
"Cici Leone",2008,"m"
"Cico",2011,"m"
"Ciele",2006,"w"
"Cifrino",2000,"w"
"Cikito",2008,"m"
"Ciko",2016,"m"
"Cili (Clooney vom Sunnepaerkli",2016,"m"
"Cina",2015,"w"
"Cinamon",2006,"w"
"Cinderella",2006,"w"
"Cindy",2006,"w"
"Cindy",2007,"w"
"Cindy",2005,"w"
"Cindy",2013,"w"
"Cindy",2008,"w"
"Cindy",2008,"w"
"Cindy",2009,"w"
"Cindy-Lou",2009,"w"
"Cinja",2013,"w"
"Cinthia ",2010,"w"
"Cin-tsha",2005,"w"
"Cinzia",2008,"w"
"Cirby v. Försterhaus",2007,"m"
"Cirillo",2007,"m"
"Ciro",2013,"m"
"Cissy Fleur du Soleil",2012,"w"
"Cito",2014,"m"
"Clara",2007,"w"
"Clara",2014,"w"
"Clark",2008,"m"
"Cle",2013,"w"
"Cleo",2011,"w"
"Cleo",2002,"w"
"Cleo",2003,"w"
"Cleo",2003,"w"
"Clever Girl Cinta",2008,"w"
"Cliff",2001,"m"
"Cliff-Lenox vom Samjr",2009,"m"
"Cliford",2011,"m"
"Clio von der weissen Wolke",2005,"w"
"Cliquot (Pickwick)",2005,"m"
"Clive",2006,"m"
"Clochard (Calvin)",2007,"m"
"Cloe",2009,"w"
"Clóe",2014,"w"
"Cloud",2016,"m"
"Coca",2006,"w"
"Cocco (Sunboy)",2008,"m"
"Cocky",2016,"m"
"Coco",2008,"w"
"Coco",2010,"w"
"Coco",2012,"m"
"Coco",2003,"w"
"Coco",2016,"m"
"Coco",2011,"w"
"Coco",2007,"w"
"Coco",2008,"m"
"Coco",2003,"w"
"Coco",2014,"w"
"Coco",2008,"w"
"Coco",2013,"m"
"Coco",2014,"m"
"Coco",2014,"w"
"Coco",2013,"m"
"Coco",2010,"w"
"Coco",2015,"w"
"Coco",2012,"w"
"Coco",2011,"w"
"Coco",2010,"m"
"Coco",2013,"w"
"Coco",2010,"m"
"CoCo",2015,"w"
"Coco (Ares)",2013,"m"
"Coco Chanel",2010,"w"
"Coco Chanel",2015,"w"
"Coco (Sindi)",2016,"w"
"Coco v.d. Heiligen Pfählen",2016,"w"
"Cocolino",2010,"m"
"Cocotte",2016,"w"
"Cody",2008,"m"
"Cody (Captain Luka High Hopes)",2006,"m"
"Coeur",2002,"w"
"Cokito",2014,"m"
"Cola",2010,"w"
"Cola",2008,"m"
"Colani",2009,"m"
"Colin",2004,"m"
"Coline",2002,"w"
"Colla",2005,"m"
"Collin",2009,"m"
"Colombo",2004,"m"
"Connor",2007,"w"
"Constantin",2013,"m"
"Coockie",2006,"w"
"Cook",2007,"m"
"Cookie",2014,"m"
"Cookie",2015,"w"
"Cookie",2008,"m"
"Cookie",2006,"m"
"Cookie (Carla)",2012,"w"
"Cooper",2013,"m"
"Cooper",2006,"w"
"Cooper",2015,"m"
"Cooper",2013,"m"
"Cooper",2010,"m"
"Cooper",2011,"m"
"Cooper vom Sonnenhügel",2010,"m"
"Copia",2007,"w"
"Copper",2009,"m"
"Cora",2002,"w"
"Cora",2007,"w"
"Cora",2008,"w"
"Cora",2003,"w"
"Cora",2013,"w"
"Cora-Lee",2013,"w"
"Corazon",2009,"m"
"Cori (Corina)",2007,"w"
"Corin",2007,"w"
"Corona",2007,"w"
"Cosima",2013,"w"
"Cosimo",2005,"m"
"Cosita",2007,"w"
"Cosita",2012,"w"
"Cosmo",2004,"m"
"Cotton",2015,"w"
"Courage",2003,"m"
"Cowboy Bill von Wasaland",2012,"m"
"Crasch",2009,"m"
"Crash",2013,"m"
"Crickett",2000,"w"
"Cristal",2008,"w"
"Crosby",2016,"w"
"Crystal",2008,"w"
"Csaba",2015,"m"
"Csaba",2015,"m"
"Csali",2011,"w"
"Csibesz",2016,"m"
"Csillag (Havy)",2016,"w"
"Csodas",2009,"m"
"Csutak",2007,"w"
"Cuba",2007,"w"
"Cucciolo",2004,"m"
"Cucika",2012,"w"
"Curly",2004,"w"
"Curly Timmy von Happy Season",2009,"m"
"Curro",2007,"m"
"Cute",2014,"w"
"Cyros de Vulcain",2007,"m"
"Cyrus",2014,"m"
"Da Lila Dublin von Fricktal",2012,"w"
"Dabby",2008,"w"
"Dabu",2007,"m"
"Dada",2009,"w"
"Daffinee",2005,"w"
"Daffy (Daphne von Flolama)",2013,"w"
"Dafy",2014,"w"
"Dagobert",2007,"m"
"Dahja",2009,"w"
"Daima (Diamond in the Sky )",2010,"w"
"Daimen (Eiri)",2016,"m"
"Daimon",2006,"m"
"Dain Dido del Arco di Rosa",2010,"w"
"Daisy",2000,"w"
"Daisy",2006,"w"
"Daisy",2004,"w"
"Daisy",2011,"w"
"Daisy",2011,"w"
"Daisy",2010,"w"
"Daisy",2009,"w"
"Daisy",2008,"w"
"Daisy",2011,"m"
"Daisy",2010,"w"
"Daisy",2012,"w"
"Daisy",2013,"w"
"Daisy",2010,"w"
"Daisy",2011,"w"
"Daisy",2003,"w"
"Daisy",2006,"w"
"Daisy",2015,"w"
"Daisy",2009,"w"
"Daisy",2011,"w"
"Daisy",2015,"w"
"Daisy",2015,"w"
"Daisy",2016,"w"
"Daisy  Desirée Rainerschlössel",2011,"w"
"Daisy-Gold",2012,"w"
"Daitan",2014,"m"
"Dakar",2007,"m"
"Dakini",2005,"w"
"Dakota",2015,"w"
"Dali",2013,"m"
"Dalida",2010,"w"
"Dalila",2012,"w"
"Dalina",2013,"w"
"Dallas",2014,"w"
"Dallas Cowboy",2016,"m"
"Dalmor (Vannilla)",2006,"w"
"Dameer",2008,"m"
"Damina",2015,"w"
"Damon ",2007,"m"
"Dana Esperanza",2005,"w"
"Dana Reichsgrafen von Velen",2012,"w"
"Dandee of Black Devils",2015,"m"
"Dani",2000,"m"
"Danica",2007,"w"
"Danjo",2005,"m"
"Dante",2006,"m"
"Dante",2011,"m"
"Daphne  (Deema)",2007,"w"
"Dara vom Wolfszauber",2016,"w"
"Darina Levana",2015,"w"
"Darleen",2009,"w"
"Darth",2005,"m"
"Darush",2011,"m"
"Darwin",2009,"m"
"Dascha",2004,"w"
"Dasenk",2008,"w"
"Da-Shang of Taiga's Dream",2009,"m"
"Daska",2010,"w"
"Dasso",2009,"m"
"Dave",2016,"m"
"David Bowie",2012,"m"
"Davy",2012,"m"
"Daya",2005,"w"
"Daylight vom Wolfszauber",2016,"w"
"De Niro",2010,"m"
"De Niro",2008,"m"
"De of Amar",2015,"w"
"Dea",2009,"w"
"Deacon",2012,"m"
"Dean",2003,"m"
"Debby (Tara)",1999,"w"
"Debora (Milly)",2009,"w"
"Deby",2001,"w"
"Dechen",2000,"m"
"Decus",2007,"m"
"Dedo",2010,"m"
"Deija",2006,"w"
"Deisy",2000,"w"
"Delia",2009,"w"
"Delia",2013,"w"
"Delilah",2012,"w"
"Delilah",2011,"w"
"Delora",2012,"w"
"Délos",2003,"m"
"Delphi",2016,"w"
"Delphine",2003,"w"
"Demba",2009,"w"
"Denis",2007,"m"
"Deniz",2013,"m"
"Derrick",2014,"m"
"Derrik Stone George von Ayala",2016,"m"
"Despina",2006,"w"
"Destiny",2005,"w"
"Devis",2004,"m"
"Dex",2005,"m"
"Dexter",2009,"m"
"Dexter",2013,"m"
"Dexter",2012,"m"
"Dexter",2013,"m"
"Dharma",2009,"m"
"Diabolo",2005,"m"
"Diamond",2013,"w"
"Diamond",2012,"m"
"Diamond (Devil)",2015,"m"
"Diamonds of Taylor Miro",2015,"m"
"Diana",2008,"w"
"Diana",2007,"w"
"Diana",2003,"w"
"Diane",2011,"w"
"Diba",2011,"w"
"Dickie",2012,"m"
"Diddily",2016,"w"
"Didi",2007,"m"
"Didi",2013,"w"
"Didi",2004,"w"
"Didi",2011,"w"
"Dido",2005,"m"
"Diego",2016,"m"
"Diego",2010,"m"
"Diego",2012,"m"
"Diego",2006,"m"
"Diego (Ocho)",2015,"m"
"Diego Rivera",2009,"m"
"Diesel",2008,"m"
"Dijonne",2015,"w"
"Dika",2011,"w"
"Dilina",2014,"w"
"Dilly",2012,"w"
"Diluna's Bagheera Chloe",2008,"w"
"Dimitri",2005,"w"
"Dina",2008,"w"
"Dina",2014,"w"
"Dina",2013,"w"
"Dina",1999,"w"
"Dina",2010,"w"
"Dina",2014,"w"
"Dina",2012,"w"
"Dingo",2005,"m"
"Dingo",2013,"m"
"Dinka",2010,"w"
"Dino",2016,"m"
"Dino",2011,"m"
"Dino",2008,"m"
"Dino",2006,"m"
"Dino",2009,"m"
"Dino",2002,"m"
"Dino",2008,"m"
"Dino",2009,"m"
"Dino",2005,"m"
"Dino",2001,"m"
"Dino vom Tierfeld",2010,"m"
"Dion",2012,"m"
"Dior",2015,"m"
"Diores",2016,"m"
"Dipo (Ash)",2005,"m"
"Dipsy",2012,"w"
"Dirk von Schweizersholz",2016,"m"
"Dis moi tout ""Tutu""",2008,"w"
"Disney",2013,"w"
"Dita (Perdita)",2004,"w"
"Ditus",2012,"m"
"Diva",2005,"w"
"Diva",2009,"w"
"Diva",2008,"w"
"Diva",2016,"w"
"Diva",2009,"w"
"Diva",2013,"w"
"Diva",2007,"w"
"Diva Sina",2007,"w"
"Divi",2015,"w"
"Dixi",2004,"w"
"Dixi",2006,"w"
"Dixi",2008,"w"
"DJ",2012,"m"
"Djahan",2010,"m"
"Djambo",2005,"m"
"Djamila",2014,"w"
"Django",2014,"m"
"Django",2008,"m"
"Djego",1999,"m"
"Djego",2013,"m"
"Djira",2005,"w"
"Djuce",2011,"m"
"Djuni",2010,"w"
"D'Lulu",2007,"w"
"Dobby",2012,"m"
"Doc",2008,"w"
"Dodo",2013,"m"
"Dodo",2012,"m"
"Dodo",2011,"w"
"Dodo",2011,"m"
"Dolce",2006,"m"
"Dolce",2008,"w"
"Dolce",2007,"m"
"Dolce",2012,"m"
"Dolce Vita Life",2016,"m"
"Dolli",2013,"w"
"Dolly",2007,"w"
"Dolly",2013,"w"
"Dolly sweet Girl",2015,"w"
"Domino",2012,"m"
"Domino",2013,"m"
"Domino",2012,"m"
"Domino",2005,"m"
"Don",2012,"m"
"Don Camillo",2002,"m"
"Dona",2006,"w"
"Dona",2009,"w"
"Dona",2009,"w"
"Dona",2000,"w"
"Dona",1998,"w"
"Dona (Donatella d'Abundo)",2008,"w"
"Donna",2015,"w"
"Donna",2012,"w"
"Donna",2008,"w"
"Donna Liberata's",2002,"w"
"Donut",2016,"m"
"Dooley",2008,"m"
"Dora",2004,"w"
"Dora",2013,"w"
"Dora",2014,"w"
"Dora",2015,"w"
"Doreen",2005,"w"
"Dori",2010,"w"
"Dori",2016,"w"
"Dorli",2003,"w"
"Doros (Moritz)",2009,"m"
"Dost",2014,"m"
"Dost",2010,"m"
"Dottie",2015,"w"
"Dotty",2014,"w"
"Douglas",2009,"m"
"Douky (Bejou)",2011,"m"
"Dover",2013,"m"
"Dr. Maris",2009,"w"
"Dragon",2010,"m"
"Dreamfields Peaches",2016,"w"
"Dreams",2008,"m"
"Droopy",2008,"m"
"Drughi (Mercur)",2013,"m"
"Drüü",2009,"w"
"Dschin-Dschi",2011,"w"
"Ducati Monster de CCB",2014,"m"
"Duchessa",2006,"w"
"Duchesse",2014,"w"
"Dude",2013,"m"
"Duffy",2009,"w"
"Duke",2016,"m"
"Duke",2010,"m"
"Duke",2015,"m"
"Duke",2009,"m"
"Duke",2007,"m"
"Duki",2010,"m"
"Duma",2009,"w"
"Duma",2013,"w"
"Duman",2014,"m"
"Dunga",2010,"m"
"Dunja von Auenland",2012,"w"
"Duque",2008,"m"
"Duque",2016,"m"
"Duran vom Wolfsstern",2010,"m"
"Düse (Sunny)",2006,"w"
"Dusja",2014,"w"
"Dusty",2002,"m"
"Dusty",2007,"m"
"Dusty vom Wolfszauber",2016,"m"
"Dwayne",2012,"m"
"Dyana'Lys Born To Be Live",2009,"w"
"Dylan",2008,"m"
"Dylan",2008,"m"
"Dylan ",2014,"m"
"Dylan (Carlos)",2009,"m"
"Dyra von Eichblatt",2009,"w"
"Dyson",2014,"m"
"Dzhigan",2015,"m"
"Eames (Bubbel)",2009,"w"
"Earl",2014,"m"
"Eazy",2016,"m"
"Eco",2014,"m"
"Edda",2007,"w"
"Edgar",2009,"m"
"Edi",2010,"m"
"Edison v. Burg Schwärtzenberg",2012,"m"
"Edna Chiara",2015,"w"
"Eduardo Durango",2016,"m"
"Edy",2007,"m"
"Eesha",2007,"w"
"Effi v. Hoppiho",2006,"w"
"Egon",2012,"m"
"Eick",2009,"m"
"Eifel",2009,"m"
"Eiji",2016,"m"
"Eika ",2008,"w"
"Eika vom Reistelkopf",2014,"w"
"Eiko",2013,"m"
"Eiko",2010,"m"
"Eiko",2007,"m"
"Eiko",2002,"m"
"Eiko (Scalloway's ) (Edor)",2008,"m"
"Eila",2010,"w"
"E-IMI",2009,"w"
"Einstein",2011,"m"
"Einstein",2014,"m"
"Eira",2005,"w"
"Eira",2005,"w"
"Eivy",2005,"w"
"Ekki",2003,"m"
"El Mexicano",2009,"m"
"Ela",2010,"w"
"Elafonisi",2016,"w"
"Elfie",2014,"w"
"Eli (Eleonore)",2013,"w"
"Elia",2008,"m"
"Eliana",2013,"w"
"Elie",2009,"w"
"Eligius",2016,"m"
"Elijah",2011,"m"
"Elina",2010,"w"
"Elio (Erkki)",2011,"m"
"Eliot",2008,"m"
"Elisabeth",2016,"w"
"Ella",2016,"w"
"Ella",2015,"w"
"Ella (Electra)",2011,"w"
"Elli",2016,"w"
"Elli",2009,"w"
"Elli von Ricken",2016,"w"
"Ellie",2016,"w"
"Ellie",2016,"w"
"Ellie",2009,"w"
"Ellie",2007,"w"
"Elliot-Kila",2008,"m"
"Ellwood's Malaika in black",2012,"w"
"Elly",2015,"w"
"Elly",2008,"w"
"Elly",2014,"w"
"Elmer",2009,"m"
"Elmo",2014,"m"
"Elmo",2012,"m"
"Elmo Milou",2016,"m"
"Elodie Goody",2016,"w"
"Eloy",2012,"m"
"Elram's Avery",2009,"m"
"Elsa",2014,"w"
"Elsa",2012,"w"
"Elsa",2015,"w"
"Elsa",2003,"w"
"Elsa",2013,"w"
"Elvin v. Apache-Cheyenne",2011,"m"
"Elvis",2010,"m"
"Elvis",2015,"m"
"Elvis",2009,"m"
"Elvis",2016,"m"
"Elvis",2012,"m"
"Elvis",2008,"m"
"Elvis",2014,"m"
"Elvis",2005,"m"
"Elvis",2008,"m"
"Elvis",2007,"m"
"Elvis",2010,"m"
"Elvis",2010,"m"
"Elvis",2011,"m"
"Elvyn",2012,"m"
"Elyzza",2004,"w"
"Embra",2016,"w"
"Emely",2008,"w"
"Emely",2015,"w"
"Emely (Daisy Mae)",2013,"w"
"Emi",2004,"w"
"Emil",2014,"m"
"Emil",2010,"m"
"Emil Albert",2008,"m"
"Emili",2015,"w"
"Emilio",2014,"m"
"Emily",2011,"w"
"Emily",2005,"w"
"Emily (Xoxolate of Bloodline)",2005,"w"
"Emma",2013,"w"
"Emma",2013,"w"
"Emma",2013,"w"
"Emma",2013,"w"
"Emma",2009,"w"
"Emma",2011,"w"
"Emma",2015,"w"
"Emma",2014,"w"
"Emma",2014,"w"
"Emma",2011,"w"
"Emma",2009,"w"
"Emma",2013,"w"
"Emma",2006,"w"
"Emma",2008,"w"
"Emma",2007,"w"
"Emma",2012,"w"
"Emma (Haysha)",2014,"w"
"Emma (Svenja)",2007,"w"
"Emma (Zora)",2007,"w"
"Emmely",2015,"w"
"Emmi",2005,"w"
"Emmi",2008,"w"
"Emmy",2014,"w"
"Emtschi",2009,"m"
"Emy",2009,"w"
"Emy (Sophia Loren)",2012,"w"
"Ena von der Linde",2010,"w"
"Enapay",2008,"m"
"Endra",2003,"w"
"Enea",2006,"w"
"Energy (Dimitrie-Napoleon)",2015,"m"
"Enisa",2008,"w"
"Enja",2011,"w"
"Enja",2011,"w"
"Enja",2010,"w"
"Enja Fazzini",2012,"w"
"Ennio",2016,"m"
"Ennio du brave Coeur",2014,"m"
"Enoja",2014,"w"
"Enok",2011,"m"
"Enola",2007,"w"
"Enrico",2014,"m"
"Enya",2006,"w"
"Enya",2016,"w"
"Enzo",2005,"m"
"Enzo",2009,"m"
"Enzo",2015,"m"
"Ercolino",2013,"m"
"Erni",2015,"m"
"Eros",2014,"m"
"Eros",2010,"m"
"Eros",2016,"m"
"Eros",2013,"m"
"Escobar",2012,"m"
"Eske",2014,"w"
"Esko vom Paradiesertor",2012,"m"
"Espo",2003,"m"
"Esprit Active Crispy Concho",2014,"m"
"Estragon (Dylan Wieselweide)",2013,"m"
"Estreja",2004,"w"
"Estrella",2008,"w"
"Estrella",2011,"w"
"Estrellita",2012,"w"
"Estrupi",2011,"m"
"E.T.",2003,"m"
"Ethel",2004,"w"
"Etoo",2010,"m"
"Etoo",2005,"m"
"Etoo de la casa Amistosa",2012,"m"
"Eusebio",2007,"m"
"Eva",2010,"w"
"Eva (Evchen)",2002,"w"
"Eve",2012,"w"
"Eve-Chloe",2011,"w"
"Even",2010,"m"
"Evita",2011,"w"
"Evita-Maria",2009,"w"
"Ewa",2014,"w"
"Ewan i Fiori Papavero",2011,"m"
