HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Angel von Matterand",2011,"m"
"Angélina",2013,"w"
"Angie",2014,"w"
"Angle",2009,"w"
"Angus (Rowan)",2015,"m"
"Anik",2013,"w"
"Anjo",2015,"m"
"Anjo",2014,"m"
"Anna",2008,"w"
"Anna",2013,"w"
"Anna (chilchil v Montfortwald)",2016,"w"
"Annabella",2015,"w"
"Anouk",2014,"w"
"Anouk (Quanti)",2013,"w"
"Anouk vom Leukergrund",2012,"w"
"Antares",2009,"m"
"Anton",2010,"m"
"Antonia",2010,"w"
"Antonio",2012,"m"
"Anubis",2011,"m"
"Anubis",2015,"w"
"Anuk",2006,"w"
"Anya",2004,"w"
"Apache",2014,"m"
"Apollo",2012,"m"
"Apollo",2001,"m"
"Apollo (Fläckli)",2016,"m"
"Apu",2012,"m"
"Aqua",2008,"w"
"Ara",2010,"w"
"Arabeska",2013,"w"
"Aradei",2002,"m"
"Aragon",2013,"m"
"Aragon",2010,"m"
"Aragon of Shining Star",2015,"m"
"Aramis",2016,"m"
"Aramis",2006,"m"
"Aramis",2002,"m"
"Aramis Navid",2016,"m"
"Araya vom Tannzapfenland",2015,"w"
"Arbataxa vom Huggerwald",2016,"w"
"Archibald",2004,"m"
"Archie",2012,"m"
"Arco",2007,"m"
"Arco",2004,"m"
"Ardeshir",2011,"m"
"Are",2015,"m"
"Ares",2016,"m"
"Ares",2004,"m"
"Ares",2011,"m"
"Ares",2007,"m"
"Areta",2004,"w"
"Areta",2000,"w"
"Arezu",2007,"m"
"Argo",2005,"m"
"Argo vom Buechlisberg",2012,"m"
"Argos",2003,"m"
"Arguitos",2014,"m"
"Ari",2014,"m"
"Ari",2010,"m"
"Ari",2013,"m"
"Ari",2006,"w"
"Ariel",2003,"m"
"Arilla",2015,"w"
"Arina Luna",2004,"m"
"Aristo",2010,"m"
"Arka",2006,"w"
"Arkas",2011,"m"
"Arko",2016,"m"
"Arktis (Avik of Jakutsk)",2007,"m"
"Arla",2013,"w"
"Arlette Siberiah Imi Jinsei",2014,"w"
"Arlo",2008,"m"
"Arlo",2015,"m"
"Armani",2005,"w"
"Armani",2013,"m"
"Armani",2014,"m"
"Armani by Clan Ferona",2016,"m"
"Arni",2012,"m"
"Aro (Tomba v. Försterhaus)",2015,"m"
"Aron",2010,"m"
"Aron",2005,"m"
"Aron",2015,"m"
"Aron",2012,"m"
"Aron Dehiani",2013,"m"
"Aron von Paradisli",2007,"m"
"Arrow",2012,"m"
"Arrow",2002,"m"
"Arsenij",2011,"m"
"Artair",2013,"m"
"Artemis",2010,"w"
"Arthur",2005,"m"
"Arthur",2009,"m"
"Arthus",2009,"m"
"Artic Aivik Dynamic Aruk",2010,"m"
"Arton",2008,"m"
"Artos",2002,"m"
"Artu",2012,"m"
"Artur Mano",1999,"m"
"Arturo",2013,"m"
"Artus",2008,"m"
"Artus",2004,"m"
"Artus",2015,"m"
"Artus",2005,"m"
"Arwen",2002,"w"
"Arwen",2008,"m"
"Ary",2014,"m"
"Arya",2014,"w"
"Asco",2010,"m"
"Asco (Aristorrat)",2008,"m"
"Ashanti",2006,"w"
"Ashbury Happy Sunshine",2012,"w"
"Asia",2002,"w"
"Asia",2005,"w"
"Asimov",2016,"m"
"Aska",2013,"w"
"Aska",2010,"w"
"Askari",2005,"m"
"Askella",2015,"w"
"Asla",2010,"w"
"Aslan",2014,"m"
"Asta",2008,"w"
"Asta",2007,"w"
"Asta",2005,"w"
"Asta",2004,"w"
"Asthon",2012,"m"
"Asti",2002,"m"
"Asti",2015,"m"
"Aston",2015,"m"
"Aston Henry",2012,"m"
"Astro",2015,"m"
"Asya",2014,"w"
"Athao",2006,"m"
"Athos",2016,"m"
"Athos",2011,"m"
"Athos",2014,"m"
"Athos Chips",2008,"m"
"Athos Porthos",2016,"m"
"Atila",2011,"w"
"Atina",2016,"w"
"Atos",2011,"m"
"Atreju (Anpaytoo)",2008,"m"
"Audrey",2008,"w"
"Aura-Akira",2016,"w"
"Aurel",2016,"m"
"Aurelie",2011,"w"
"Auron",2011,"m"
"Aurora vom Wyhental",2013,"w"
"Austin",2009,"m"
"Auzzy Zeus Foster",2010,"m"
"Ava",2016,"w"
"Avalon",2006,"m"
"Avalon-Joya",2014,"w"
"Avani",2012,"w"
"Avery",2013,"m"
"Avon vom Kunstgarten",2012,"m"
"Axel",2006,"m"
"Axel von Burg Schwärtzenberg",2011,"m"
"Ayana",2014,"w"
"Ayana",2012,"w"
"Ayca",2007,"w"
"Ayco",2011,"m"
"Ayk",2010,"m"
"Ayko",2013,"m"
"Ayla",2015,"w"
"Ayla",2007,"w"
"Ayla",2011,"w"
"Ayla",2010,"w"
"Aysha",2007,"w"
"Aysha",2006,"w"
"Aysha",2006,"w"
"Aysha",2008,"w"
"Aysha (Alya)",2008,"w"
"Ayumi",2012,"w"
"Ayumi",2016,"w"
"Ayusha vom Maieriesli",2013,"w"
